264;2.23
;276
266;2.5
392;2.36
;277
287;19.96
328;4.92
332;11.27
;278
268;2.35
292;2.47
;279
172;2
253;2.33
;280
270;3.75
318;2.34
;281
271;1.2
291;10.42
308;17.07
321;11.8
;282
368;10.84
386;10.74
;283
260;3.66
;284
264;12.32
293;2.23
302;10.2
;285
265;4.06
294;3.07
303;19.61
;286
266;3.35
295;6.82
304;5.56
;287
277;19.96
296;4.99
;288
268;8.65
297;2.78
306;10.05
;289
298;2.89
307;15.85
421;5.81
;290
270;3.6
291;16.99
299;3.82
308;12.1
;291
281;10.42
290;16.99
372;11.75
;292
278;2.47
;293
109;2.4
284;2.23
;294
272;10.07
285;3.07
;295
286;6.82
335;5.86
345;3.8
;296
287;4.99
305;1.78
315;5.13
;297
288;2.78
301;2.35
;298
289;2.89
416;9.21
;299
290;3.82
310;2.09
;300
160;1
309;1.34
533;1
;301
297;2.35
;302
284;10.2
312;6.72
330;8.1
;303
285;19.61
313;2.99
321;18.4
;304
286;5.56
314;3.28
322;11.12
;305
296;1.78
;306
288;10.05
316;3.42
333;2.91
;307
289;15.85
317;3.45
325;25.9
;308
281;17.07
290;12.1
326;7.58
361;18.58
;309
300;1.34
325;14.02
354;11.75
388;14.48
;310
299;2.09
;311
333;3.36
;312
302;6.72
320;7.32
347;6.48
431;29.11
;313
272;10.69
303;2.99
;314
304;3.28
408;3.23
;315
296;5.13
323;2.07
;316
306;3.42
324;2.92
341;14.97
